id,name,email,phoneNumber,province,city,address1,address2,postalCode,lat,lng,facebookGroupId,createdBy,creationDate,lastModifiedBy,lastModifiedDate,deleted,deletedBy,deleteDate,isRFP,isAffiliated,inLocator,website,operatingHours,contactName,contactTitle,contactEmail,contactPhoneNumber,numStaff,numVolunteers,numServedInPreviousYear,totalPoundsDistributedAnnually,description,instructions,facebookUrl,twitterUrl,instagramUrl,logoUrl,visualReferenceUrl,contacts,crmId,isActive,crmLastModifiedDate
043a72b1-986f-41d7-bcf9-903456b8f34e,Supportive Housing for Young Mothers (SHYM),,,Nova Scotia,Dartmouth,4 Mount Hope Avenue,,B2Y 4K1,44.6520077,-63.5465528,3043371965978026,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2022-04-12T14:22:44.453461,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2022-05-30T18:01:28.238723,False,,,False,False,True,,,,,,,,,,,,,,,,,,[],8e10cb43-6bba-ec11-9840-000d3af44164,True,2022-05-30T18:01:28.238723
0595e51d-07ac-41f8-bff0-3b04061c18c9,Cole Harbour Woodside United Church,,,Nova Scotia,Dartmouth,15 Bissett Road,,B2V 2T1,44.6715686,-63.4777631,941703563325987,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2022-04-12T14:18:12.058625,f0bf0107-22af-4c64-afa0-0d44a761ecc1,2023-12-11T00:00:00,False,,,False,False,True,,,,,,,,,,,,,,,,,,[],620ccb43-6bba-ec11-9840-000d3af44164,True,2022-05-30T17:57:56.858752
0748e923-95ce-48fe-ab22-f49e9cf0cc90,Bridgewater Elementary School,,,Nova Scotia,Bridgewater,100 York St,,B4V 1R3,44.3770995,-64.5228324,495280035414937,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2022-04-12T14:18:11.904871,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2022-05-30T17:57:47.109515,False,,,False,False,True,,,,,,,,,,,,,,,,,,[],e80bcb43-6bba-ec11-9840-000d3af44164,True,2022-05-30T17:57:47.109515
08da68f6-dea0-491b-9d8a-289406dfe7c0,Adsum House,,,Nova Scotia,Halifax,2421 Brunswick Street,,B3K 2Z4,44.6562447,-63.5860386,1368977213619999,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2022-04-12T14:18:01.584009,f0bf0107-22af-4c64-afa0-0d44a761ecc1,2023-12-11T00:00:00,False,,,False,False,True,,,,,,,,,,,,,,,,,,[],6e0bcb43-6bba-ec11-9840-000d3af44164,True,2022-05-30T17:57:36.347561
08e492d1-7664-4a0b-a7c3-2c614ed22207,Emmanuel Food Bank,,,Nova Scotia,Halifax,322 Herring Cove Rd,,B3R 1V4,44.6140768,-63.6158084,1168668407292665,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2022-04-12T14:18:22.972386,f0bf0107-22af-4c64-afa0-0d44a761ecc1,2023-12-11T00:00:00,False,,,False,False,True,,,,,,,,,,,,,,,,,,[],c20ccb43-6bba-ec11-9840-000d3af44164,True,2022-05-30T17:58:05.434795
0b1d0125-765e-4a1f-a3f3-3e3e4c3196ef,Lunenburg Interchurch Food Bank,kcmcal@eastlink.ca,9025211078,NS,Lunenburg,283 Lincoln Street,,B0J 2C0,44.3773986,-64.3091352,1428271057591220,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2022-04-12T14:18:46.545276,f0bf0107-22af-4c64-afa0-0d44a761ecc1,2024-09-17T20:25:59.058443,False,,,True,True,True,,,,,,,,,,,,,,,,,,[],120ecb43-6bba-ec11-9840-000d3af44164,True,2022-05-30T17:58:36.63316
0e4e4881-a212-47e5-82b7-e016c93bfe18,Eastern Shore Food Bank,,,Nova Scotia,Musquodobit Harbour,43 East Petpeswick Rd,,B0J 2L0,44.7849473,-63.1464438,382171833803506,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2022-04-12T14:18:27.181827,f0bf0107-22af-4c64-afa0-0d44a761ecc1,2023-12-11T00:00:00,False,,,False,False,True,,,,,,,,,,,,,,,,,,[],b00ccb43-6bba-ec11-9840-000d3af44164,True,2022-05-30T17:58:03.580365
0e6708c0-190e-4e82-9b29-fb56f515dbe8,Marine Communities Food Bank Society,,,Nova Scotia,Head of Chezzetcook,5531 Highway #7,,B0J 1N0,44.7414567,-63.2528893,3103907603181581,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2022-04-12T14:19:45.850435,f0bf0107-22af-4c64-afa0-0d44a761ecc1,2023-12-11T00:00:00,False,,,False,False,True,,,,,,,,,,,,,,,,,,[],300ecb43-6bba-ec11-9840-000d3af44164,True,2022-05-30T17:58:39.237638
114dcab1-974d-45fa-96b6-b5ab81987e21,John Martin Jr High,wanda.baker-hayward@hrce.ca,"(902) 464-2408, ext. 3601102",Nova Scotia,Dartmouth,7 Brule Street,,B3J 1Y2,44.6832216,-63.5883485,487889553053074,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2022-04-12T14:18:30.907066,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2024-01-12T17:31:52.716921,False,,,False,False,True,,,John Martin Junior High School Breakfast Program,,wanda.baker-hayward@hrce.ca,"(902) 464-2408, ext. 3601102",,,,,,,,,,,,"[{'id': '9e0bf359-7051-4bb3-8f11-47605ff6923c', 'branchId': '114dcab1-974d-45fa-96b6-b5ab81987e21', 'name': 'Public Contact', 'emailAddress': 'wanda.baker-hayward@hrce.ca', 'phoneNumber': '(902) 464-2408, ext. 3601102', 'contactName': 'John Martin Junior High School Breakfast Program', 'contactTitle': '', 'contactId': None, 'isDeleted': False, 'contactOrder': 0}]",aa0dcb43-6bba-ec11-9840-000d3af44164,True,2024-01-12T17:31:52.716921
142cfe67-6ece-43d4-a921-369a9e69560e,Highland Park Junior High School,hpjh@hrce.ca,9024935124,Nova Scotia,Halifax,3479 Robie Street,,B3K 4S4,44.6648859,-63.609312,941738246491102,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2022-04-12T14:18:35.451284,4f50a487-2b75-4ddc-a709-e28d3ca8144a,2024-01-12T17:11:46.749862,False,,,False,False,True,,,Highland Park Junior High School,,hpjh@hrce.ca,9024935124,,,,,,,,,,,,"[{'id': '703d1e15-08f8-4d8a-a104-9c920075a5cb', 'branchId': '142cfe67-6ece-43d4-a921-369a9e69560e', 'name': 'Public Contact', 'emailAddress': 'hpjh@hrce.ca', 'phoneNumber': '9024935124', 'contactName': 'Highland Park Junior High School', 'contactTitle': '', 'contactId': None, 'isDeleted': False, 'contactOrder': 0}]",740dcb43-6bba-ec11-9840-000d3af44164,True,2024-01-12T17:11:46.749862
